Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
0,--,--,--,--,System initialization completed.
0,--,--,--,--,Firing event 'MoArrivals.EntityArrivals.Event'.
0,MoArrivals,MoArrivals,0.OnEntityArrival,[Begin],Process 'MoArrivals.OnEntityArrival' execution started.
0,MoArrivals,MoArrivals,0.OnEntityArrival,[Create] Entities,Creating '1' new object(s) of entity type 'DefaultEntity'.
0,MoArrivals,MoArrivals,0.OnEntityArrival,[Create] Entities,Created object 'DefaultEntity.36'.
0,Order01 (DefaultEntity.36),MoArrivals,1.OnEntityArrival,[Transfer] ToProcessing,Entity 'DefaultEntity.36' transferring from '[FreeSpace] MoArrivals' into station 'MoArrivals.Processing'.
0,MoArrivals,MoArrivals,0.OnEntityArrival,[End],Process 'MoArrivals.OnEntityArrival' execution ended.
0,Order01 (DefaultEntity.36),MoArrivals,2.OnEnteredProcessing,[Begin],Process 'MoArrivals.OnEnteredProcessing' execution started.
0,Order01 (DefaultEntity.36),MoArrivals,2.OnEnteredProcessing,[EndTransfer] IntoProcessing,Entity 'DefaultEntity.36' ending transfer into station 'MoArrivals.Processing'.
0,Order01 (DefaultEntity.36),MoArrivals,2.OnEnteredProcessing,[SetRow] OnCreatedEntity,Sequence table reference for entity 'DefaultEntity.36' set to row index '1' in table 'Routings'.
0,Order01 (DefaultEntity.36),MoArrivals,2.OnEnteredProcessing,[Transfer] ToOutputBuffer,Entity 'DefaultEntity.36' transferring from '[Station] MoArrivals.Processing' into station 'MoArrivals.OutputBuffer'.
0,Order01 (DefaultEntity.36),MoArrivals,1.OnEntityArrival,[End],Process 'MoArrivals.OnEntityArrival' execution ended.
0,Order01 (DefaultEntity.36),MoArrivals,0.OnEnteredOutputBuffer,[Begin],Process 'MoArrivals.OnEnteredOutputBuffer' execution started.
0,Order01 (DefaultEntity.36),MoArrivals,0.OnEnteredOutputBuffer,[EndTransfer] IntoOutputBuffer,Entity 'DefaultEntity.36' ending transfer into station 'MoArrivals.OutputBuffer'.
0,Order01 (DefaultEntity.36),MoArrivals,0.OnEnteredOutputBuffer,[Assign] BeforeExitingAssignments,Assigning state variable 'DefaultEntity.36.Cost' the value '970' USD. Previous value was '0' USD.
0,Order01 (DefaultEntity.36),MoArrivals,0.OnEnteredOutputBuffer,[Assign] BeforeExitingAssignments,Assigning state variable 'DefaultEntity.36.Picture' the value '0'. Previous value was '0'.
0,Order01 (DefaultEntity.36),MoArrivals,0.OnEnteredOutputBuffer,[Transfer] ToOutputNode,Entity 'DefaultEntity.36' transferring from '[Station] MoArrivals.OutputBuffer' into node 'Output@MoArrivals'.
0,Order01 (DefaultEntity.36),Output@MoArrivals,1.OnEnteredFromAssociatedObject,[Begin],Process 'Output@MoArrivals.OnEnteredFromAssociatedObject' execution started.
0,Order01 (DefaultEntity.36),Output@MoArrivals,1.OnEnteredFromAssociatedObject,[Fire] EnteredEvent,Firing event 'Output@MoArrivals.Entered'.
0,Order01 (DefaultEntity.36),Output@MoArrivals,1.OnEnteredFromAssociatedObject,[Decide] IfTransporter,Token branching on condition 'Entity.Is.Transporter'.
0,Order01 (DefaultEntity.36),Output@MoArrivals,1.OnEnteredFromAssociatedObject,[Decide] IfTransporter,Token sent to 'False' exit.
0,Order01 (DefaultEntity.36),Output@MoArrivals,1.OnEnteredFromAssociatedObject,[Execute] RoutingOutLogic,Executing process 'Output@MoArrivals.RoutingOutLogic'.
0,Order01 (DefaultEntity.36),Output@MoArrivals,3.RoutingOutLogic,[Begin],Process 'Output@MoArrivals.RoutingOutLogic' execution started.
